carrier,rtrip_fare,advance,busclass,nonrefundable,satstayover
AA,173.8,14,0,1,0
AA,174.9,52,0,1,1
AA,174.9,15,0,1,0
AA,176.0,28,0,1,1
AA,176.0,24,0,1,1
AA,176.0,28,0,1,0
AA,181.50000000000003,22,0,1,1
AA,181.50000000000003,15,0,1,0
AA,181.50000000000003,17,0,1,1
AA,181.50000000000003,26,0,1,1
AA,181.50000000000003,22,0,1,1
AA,181.50000000000003,13,0,1,1
AA,181.50000000000003,17,0,1,1
AA,181.50000000000003,44,0,1,1
AA,181.50000000000003,21,0,1,0
AA,181.50000000000003,35,0,1,1
AA,181.50000000000003,37,0,1,1
AA,181.50000000000003,16,0,1,1
AA,181.50000000000003,18,0,1,0
AA,184.8,23,0,1,0
AA,184.8,44,0,1,0
UA,168.0,39,0,1,0
AA,184.8,41,0,1,0
AA,184.8,27,0,1,1
AA,184.8,28,0,1,1
UA,168.0,27,0,1,0
AA,184.8,41,0,1,1
AA,184.8,16,0,1,0
AA,184.8,28,0,1,0
UA,168.0,7,0,1,1
AA,184.8,30,0,1,1
UA,168.0,27,0,1,0
UA,168.0,21,0,1,0
AA,184.8,22,0,1,1
AA,184.8,42,0,1,0
AA,184.8,16,0,1,1
AA,184.8,41,0,1,1
AA,184.8,27,0,1,0
AA,184.8,23,0,1,1
UA,168.0,29,0,1,0
UA,168.0,21,0,1,0
AA,184.8,26,0,1,1
UA,168.0,27,0,1,0
AA,184.8,32,0,1,1
AA,184.8,38,0,1,1
UA,168.0,34,0,1,0
AA,184.8,42,0,1,0
UA,168.0,27,0,1,0
UA,168.0,21,0,1,0
AA,184.8,24,0,1,1
AA,184.8,23,0,1,1
UA,168.0,37,0,1,1
AA,184.8,31,0,1,0
AA,184.8,22,0,1,0
AA,184.8,7,0,1,0
UA,168.0,21,0,1,0
AA,184.8,45,0,1,0
UA,168.0,29,0,1,0
AA,184.8,24,0,1,1
AA,184.8,28,0,1,0
AA,184.8,23,0,1,1
AA,184.8,14,0,1,1
AA,184.8,43,0,1,1
AA,184.8,26,0,1,0
UA,168.0,39,0,1,0
UA,168.0,21,0,1,0
AA,184.8,36,0,1,0
UA,168.0,35,0,1,0
AA,184.8,26,0,1,1
AA,184.8,43,0,1,1
AA,184.8,33,0,1,1
AA,184.8,72,0,1,1
UA,168.0,35,0,1,0
AA,184.8,7,0,1,0
AA,184.8,24,0,1,1
AA,184.8,40,0,1,0
AA,184.8,12,0,1,0
AA,184.8,53,0,1,1
AA,184.8,19,0,1,0
AA,184.8,49,0,1,0
AA,184.8,26,0,1,1
AA,184.8,7,0,1,1
UA,168.0,28,0,1,0
AA,184.8,52,0,1,0
AA,184.8,45,0,1,0
AA,184.8,46,0,1,0
AA,184.8,23,0,1,1
AA,184.8,28,0,1,1
AA,184.8,16,0,1,0
AA,184.8,23,0,1,1
AA,184.8,46,0,1,0
AA,184.8,46,0,1,1
AA,184.8,54,0,1,0
AA,184.8,38,0,1,1
UA,168.0,41,0,1,0
AA,184.8,20,0,1,1
AA,184.8,28,0,1,1
AA,184.8,72,0,1,1
AA,184.8,15,0,1,0
UA,168.0,19,0,1,0
UA,168.0,23,0,1,0
AA,184.8,47,0,1,0
UA,168.0,28,0,1,1
UA,168.0,20,0,1,0
AA,184.8,31,0,1,1
UA,168.0,28,0,1,0
AA,184.8,32,0,1,1
AA,184.8,26,0,1,1
AA,184.8,41,0,1,1
AA,184.8,28,0,1,1
AA,184.8,54,0,1,0
AA,184.8,39,0,1,1
AA,184.8,12,0,1,0
AA,184.8,49,0,1,0
UA,168.0,14,0,1,0
AA,184.8,7,0,1,0
AA,184.8,50,0,1,0
UA,168.0,44,0,1,0
AA,184.8,11,0,1,0
AA,184.8,40,0,1,0
AA,184.8,48,0,1,0
AA,184.8,52,0,1,1
UA,168.0,37,0,1,1
AA,184.8,48,0,1,0
UA,168.0,33,0,1,1
UA,168.0,35,0,1,1
AA,184.8,22,0,1,1
AA,184.8,42,0,1,1
UA,168.0,34,0,1,0
AA,184.8,13,0,1,0
AA,184.8,17,0,1,1
AA,184.8,49,0,1,1
UA,168.0,41,0,1,0
AA,184.8,31,0,1,0
AA,184.8,12,0,1,0
UA,168.0,33,0,1,1
UA,168.0,35,0,1,0
AA,184.8,18,0,1,1
UA,168.0,26,0,1,0
AA,184.8,41,0,1,1
AA,184.8,49,0,1,0
AA,184.8,23,0,1,1
AA,184.8,28,0,1,0
UA,168.0,27,0,1,0
AA,184.8,12,0,1,0
AA,184.8,28,0,1,0
AA,184.8,44,0,1,0
AA,184.8,30,0,1,1
AA,184.8,9,0,1,1
AA,184.8,24,0,1,1
AA,184.8,16,0,1,1
UA,168.0,25,0,1,0
UA,168.0,42,0,1,0
UA,168.0,28,0,1,0
UA,168.0,35,0,1,1
AA,184.8,54,0,1,0
UA,168.0,32,0,1,0
UA,168.0,28,0,1,0
AA,184.8,30,0,1,1
AA,184.8,32,0,1,1
AA,184.8,24,0,1,1
UA,168.0,19,0,1,1
AA,184.8,49,0,1,0
AA,184.8,47,0,1,0
AA,184.8,13,0,1,1
AA,184.8,22,0,1,1
UA,168.0,29,0,1,0
AA,184.8,24,0,1,1
AA,184.8,51,0,1,1
AA,184.8,26,0,1,0
