carrier,rtrip_fare,advance,busclass,nonrefundable,satstayover
AA,158,14,0,1,0
AA,159,52,0,1,1
AA,159,15,0,1,0
AA,160,28,0,1,1
AA,160,24,0,1,1
AA,160,28,0,1,0
AA,165,22,0,1,1
AA,165,15,0,1,0
AA,165,17,0,1,1
AA,165,26,0,1,1
AA,165,22,0,1,1
AA,165,13,0,1,1
AA,165,17,0,1,1
AA,165,44,0,1,1
AA,165,21,0,1,0
AA,165,35,0,1,1
AA,165,37,0,1,1
AA,165,16,0,1,1
AA,165,18,0,1,0
AA,168,23,0,1,0
AA,168,44,0,1,0
UA,168,39,0,1,0
AA,168,41,0,1,0
AA,168,27,0,1,1
AA,168,28,0,1,1
UA,168,27,0,1,0
AA,168,41,0,1,1
AA,168,16,0,1,0
AA,168,28,0,1,0
UA,168,7,0,1,1
AA,168,30,0,1,1
UA,168,27,0,1,0
UA,168,21,0,1,0
AA,168,22,0,1,1
AA,168,42,0,1,0
AA,168,16,0,1,1
AA,168,41,0,1,1
AA,168,27,0,1,0
AA,168,23,0,1,1
UA,168,29,0,1,0
UA,168,21,0,1,0
AA,168,26,0,1,1
UA,168,27,0,1,0
AA,168,32,0,1,1
AA,168,38,0,1,1
UA,168,34,0,1,0
AA,168,42,0,1,0
UA,168,27,0,1,0
UA,168,21,0,1,0
AA,168,24,0,1,1
AA,168,23,0,1,1
UA,168,37,0,1,1
AA,168,31,0,1,0
AA,168,22,0,1,0
AA,168,7,0,1,0
UA,168,21,0,1,0
AA,168,45,0,1,0
UA,168,29,0,1,0
AA,168,24,0,1,1
AA,168,28,0,1,0
AA,168,23,0,1,1
AA,168,14,0,1,1
AA,168,43,0,1,1
AA,168,26,0,1,0
UA,168,39,0,1,0
UA,168,21,0,1,0
AA,168,36,0,1,0
UA,168,35,0,1,0
AA,168,26,0,1,1
AA,168,43,0,1,1
AA,168,33,0,1,1
AA,168,72,0,1,1
UA,168,35,0,1,0
AA,168,7,0,1,0
AA,168,24,0,1,1
AA,168,40,0,1,0
AA,168,12,0,1,0
AA,168,53,0,1,1
AA,168,19,0,1,0
AA,168,49,0,1,0
